,Company,Year,Quarter,OCI L4,OCI L5,Value
17,Esurance Insurance Company of Canada,2019,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Esurance Insurance Company of Canada,2019,Q1,N/A,Other,0
19,Esurance Insurance Company of Canada,2019,Q1,N/A,Equity Holders,271
20,Esurance Insurance Company of Canada,2019,Q1,FVOCI, Loans,0
21,Esurance Insurance Company of Canada,2019,Q1,FVOCI, Bonds and Debentures,179
22,Esurance Insurance Company of Canada,2019,Q1,FVOCI, Equities (IAS 39),8
23,Esurance Insurance Company of Canada,2019,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Esurance Insurance Company of Canada,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Esurance Insurance Company of Canada,2019,Q1,Other,Other,0
26,Esurance Insurance Company of Canada,2019,Q1,FVOCI, Equities (IFRS 9),0
27,Esurance Insurance Company of Canada,2019,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Esurance Insurance Company of Canada,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Esurance Insurance Company of Canada,2019,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Esurance Insurance Company of Canada,2019,Q1,Other,Other,0
0,Esurance Insurance Company of Canada,2019,Q2,0,Net Income,-49
1,Esurance Insurance Company of Canada,2019,Q2,FVOCI, Loans,0
2,Esurance Insurance Company of Canada,2019,Q2,FVOCI, Bonds and Debentures,33
3,Esurance Insurance Company of Canada,2019,Q2,FVOCI, Equities (IAS 39),113
4,Esurance Insurance Company of Canada,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,4
5,Esurance Insurance Company of Canada,2019,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Esurance Insurance Company of Canada,2019,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Esurance Insurance Company of Canada,2019,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Esurance Insurance Company of Canada,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Esurance Insurance Company of Canada,2019,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Esurance Insurance Company of Canada,2019,Q2,FX Translation,Impact of Hedging,0
11,Esurance Insurance Company of Canada,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Esurance Insurance Company of Canada,2019,Q2,Other,Other,0
13,Esurance Insurance Company of Canada,2019,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,150
14,Esurance Insurance Company of Canada,2019,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Esurance Insurance Company of Canada,2019,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Esurance Insurance Company of Canada,2019,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Esurance Insurance Company of Canada,2019,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Esurance Insurance Company of Canada,2019,Q2,N/A,Other,0
19,Esurance Insurance Company of Canada,2019,Q2,N/A,Equity Holders,199
20,Esurance Insurance Company of Canada,2019,Q2,FVOCI, Loans,0
21,Esurance Insurance Company of Canada,2019,Q2,FVOCI, Bonds and Debentures,37
22,Esurance Insurance Company of Canada,2019,Q2,FVOCI, Equities (IAS 39),113
23,Esurance Insurance Company of Canada,2019,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Esurance Insurance Company of Canada,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Esurance Insurance Company of Canada,2019,Q2,Other,Other,0
26,Esurance Insurance Company of Canada,2019,Q2,FVOCI, Equities (IFRS 9),0
27,Esurance Insurance Company of Canada,2019,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Esurance Insurance Company of Canada,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Esurance Insurance Company of Canada,2019,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Esurance Insurance Company of Canada,2019,Q2,Other,Other,0
0,Esurance Insurance Company of Canada,2019,Q3,0,Net Income,401
1,Esurance Insurance Company of Canada,2019,Q3,FVOCI, Loans,0
2,Esurance Insurance Company of Canada,2019,Q3,FVOCI, Bonds and Debentures,-29
3,Esurance Insurance Company of Canada,2019,Q3,FVOCI, Equities (IAS 39),523
4,Esurance Insurance Company of Canada,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,246
5,Esurance Insurance Company of Canada,2019,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,Esurance Insurance Company of Canada,2019,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Esurance Insurance Company of Canada,2019,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Esurance Insurance Company of Canada,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Esurance Insurance Company of Canada,2019,Q3,FX Translation,Change in Unrealized Gains and Losses,0
10,Esurance Insurance Company of Canada,2019,Q3,FX Translation,Impact of Hedging,0
11,Esurance Insurance Company of Canada,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Esurance Insurance Company of Canada,2019,Q3,Other,Other,0
13,Esurance Insurance Company of Canada,2019,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,740
14,Esurance Insurance Company of Canada,2019,Q3,Revaluation Surplus, Equities (IFRS 9),0
15,Esurance Insurance Company of Canada,2019,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Esurance Insurance Company of Canada,2019,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Esurance Insurance Company of Canada,2019,Q3,Other,Remeasurements of Defined Benefit Plans,0
18,Esurance Insurance Company of Canada,2019,Q3,N/A,Other,0
19,Esurance Insurance Company of Canada,2019,Q3,N/A,Equity Holders,339
20,Esurance Insurance Company of Canada,2019,Q3,FVOCI, Loans,0
21,Esurance Insurance Company of Canada,2019,Q3,FVOCI, Bonds and Debentures,-29
22,Esurance Insurance Company of Canada,2019,Q3,FVOCI, Equities (IAS 39),90
23,Esurance Insurance Company of Canada,2019,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Esurance Insurance Company of Canada,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Esurance Insurance Company of Canada,2019,Q3,Other,Other,0
26,Esurance Insurance Company of Canada,2019,Q3,FVOCI, Equities (IFRS 9),0
27,Esurance Insurance Company of Canada,2019,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Esurance Insurance Company of Canada,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Esurance Insurance Company of Canada,2019,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Esurance Insurance Company of Canada,2019,Q3,Other,Other,0
0,Esurance Insurance Company of Canada,2019,Q4,0,Net Income,194
1,Esurance Insurance Company of Canada,2019,Q4,FVOCI, Loans,0
2,Esurance Insurance Company of Canada,2019,Q4,FVOCI, Bonds and Debentures,73
3,Esurance Insurance Company of Canada,2019,Q4,FVOCI, Equities (IAS 39),176
4,Esurance Insurance Company of Canada,2019,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,-22
5,Esurance Insurance Company of Canada,2019,Q4,Overlay Approach,Unrealized Gains and Losses,0
6,Esurance Insurance Company of Canada,2019,Q4,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Esurance Insurance Company of Canada,2019,Q4,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Esurance Insurance Company of Canada,2019,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Esurance Insurance Company of Canada,2019,Q4,FX Translation,Change in Unrealized Gains and Losses,0
10,Esurance Insurance Company of Canada,2019,Q4,FX Translation,Impact of Hedging,0
11,Esurance Insurance Company of Canada,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Esurance Insurance Company of Canada,2019,Q4,Other,Other,0
13,Esurance Insurance Company of Canada,2019,Q4,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,139
14,Esurance Insurance Company of Canada,2019,Q4,Revaluation Surplus, Equities (IFRS 9),0
15,Esurance Insurance Company of Canada,2019,Q4,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Esurance Insurance Company of Canada,2019,Q4,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Esurance Insurance Company of Canada,2019,Q4,Other,Remeasurements of Defined Benefit Plans,0
18,Esurance Insurance Company of Canada,2019,Q4,N/A,Other,0
19,Esurance Insurance Company of Canada,2019,Q4,N/A,Equity Holders,1135
20,Esurance Insurance Company of Canada,2019,Q4,FVOCI, Loans,0
21,Esurance Insurance Company of Canada,2019,Q4,FVOCI, Bonds and Debentures,87
22,Esurance Insurance Company of Canada,2019,Q4,FVOCI, Equities (IAS 39),152
23,Esurance Insurance Company of Canada,2019,Q4,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Esurance Insurance Company of Canada,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Esurance Insurance Company of Canada,2019,Q4,Other,Other,0
26,Esurance Insurance Company of Canada,2019,Q4,FVOCI, Equities (IFRS 9),0
27,Esurance Insurance Company of Canada,2019,Q4,Revaluation Surplus,Revaluation Surplus,0
28,Esurance Insurance Company of Canada,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Esurance Insurance Company of Canada,2019,Q4,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Esurance Insurance Company of Canada,2019,Q4,Other,Other,0
0,Esurance Insurance Company of Canada,2018,Q1,0,Net Income,26
1,Esurance Insurance Company of Canada,2018,Q1,FVOCI, Loans,0
2,Esurance Insurance Company of Canada,2018,Q1,FVOCI, Bonds and Debentures,54
3,Esurance Insurance Company of Canada,2018,Q1,FVOCI, Equities (IAS 39),132
4,Esurance Insurance Company of Canada,2018,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,18
5,Esurance Insurance Company of Canada,2018,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,Esurance Insurance Company of Canada,2018,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Esurance Insurance Company of Canada,2018,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Esurance Insurance Company of Canada,2018,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Esurance Insurance Company of Canada,2018,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,Esurance Insurance Company of Canada,2018,Q1,FX Translation,Impact of Hedging,0
11,Esurance Insurance Company of Canada,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Esurance Insurance Company of Canada,2018,Q1,Other,Other,0
13,Esurance Insurance Company of Canada,2018,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,168
14,Esurance Insurance Company of Canada,2018,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,Esurance Insurance Company of Canada,2018,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Esurance Insurance Company of Canada,2018,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Esurance Insurance Company of Canada,2018,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Esurance Insurance Company of Canada,2018,Q1,N/A,Other,0
19,Esurance Insurance Company of Canada,2018,Q1,N/A,Equity Holders,194
20,Esurance Insurance Company of Canada,2018,Q1,FVOCI, Loans,0
21,Esurance Insurance Company of Canada,2018,Q1,FVOCI, Bonds and Debentures,132
22,Esurance Insurance Company of Canada,2018,Q1,FVOCI, Equities (IAS 39),187
23,Esurance Insurance Company of Canada,2018,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Esurance Insurance Company of Canada,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Esurance Insurance Company of Canada,2018,Q1,Other,Other,0
26,Esurance Insurance Company of Canada,2018,Q1,FVOCI, Equities (IFRS 9),0
27,Esurance Insurance Company of Canada,2018,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Esurance Insurance Company of Canada,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Esurance Insurance Company of Canada,2018,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Esurance Insurance Company of Canada,2018,Q1,Other,Other,0
0,Esurance Insurance Company of Canada,2018,Q2,0,Net Income,445
1,Esurance Insurance Company of Canada,2018,Q2,FVOCI, Loans,0
2,Esurance Insurance Company of Canada,2018,Q2,FVOCI, Bonds and Debentures,17
3,Esurance Insurance Company of Canada,2018,Q2,FVOCI, Equities (IAS 39),52
4,Esurance Insurance Company of Canada,2018,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,12
5,Esurance Insurance Company of Canada,2018,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Esurance Insurance Company of Canada,2018,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Esurance Insurance Company of Canada,2018,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Esurance Insurance Company of Canada,2018,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Esurance Insurance Company of Canada,2018,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Esurance Insurance Company of Canada,2018,Q2,FX Translation,Impact of Hedging,0
11,Esurance Insurance Company of Canada,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Esurance Insurance Company of Canada,2018,Q2,Other,Other,0
13,Esurance Insurance Company of Canada,2018,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,-25
14,Esurance Insurance Company of Canada,2018,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Esurance Insurance Company of Canada,2018,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Esurance Insurance Company of Canada,2018,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Esurance Insurance Company of Canada,2018,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Esurance Insurance Company of Canada,2018,Q2,N/A,Other,0
19,Esurance Insurance Company of Canada,2018,Q2,N/A,Equity Holders,134
20,Esurance Insurance Company of Canada,2018,Q2,FVOCI, Loans,0
21,Esurance Insurance Company of Canada,2018,Q2,FVOCI, Bonds and Debentures,3
22,Esurance Insurance Company of Canada,2018,Q2,FVOCI, Equities (IAS 39),-60
23,Esurance Insurance Company of Canada,2018,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Esurance Insurance Company of Canada,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Esurance Insurance Company of Canada,2018,Q2,Other,Other,0
26,Esurance Insurance Company of Canada,2018,Q2,FVOCI, Equities (IFRS 9),0
27,Esurance Insurance Company of Canada,2018,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Esurance Insurance Company of Canada,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Esurance Insurance Company of Canada,2018,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Esurance Insurance Company of Canada,2018,Q2,Other,Other,0
0,Esurance Insurance Company of Canada,2018,Q3,0,Net Income,184
1,Esurance Insurance Company of Canada,2018,Q3,FVOCI, Loans,144
2,Esurance Insurance Company of Canada,2018,Q3,FVOCI, Bonds and Debentures,205
3,Esurance Insurance Company of Canada,2018,Q3,FVOCI, Equities (IAS 39),-6
4,Esurance Insurance Company of Canada,2018,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,-12
5,Esurance Insurance Company of Canada,2018,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,Esurance Insurance Company of Canada,2018,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Esurance Insurance Company of Canada,2018,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Esurance Insurance Company of Canada,2018,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Esurance Insurance Company of Canada,2018,Q3,FX Translation,Change in Unrealized Gains and Losses,0
10,Esurance Insurance Company of Canada,2018,Q3,FX Translation,Impact of Hedging,0
11,Esurance Insurance Company of Canada,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Esurance Insurance Company of Canada,2018,Q3,Other,Other,0
13,Esurance Insurance Company of Canada,2018,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,149
14,Esurance Insurance Company of Canada,2018,Q3,Revaluation Surplus, Equities (IFRS 9),0
15,Esurance Insurance Company of Canada,2018,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Esurance Insurance Company of Canada,2018,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Esurance Insurance Company of Canada,2018,Q3,Other,Remeasurements of Defined Benefit Plans,0
18,Esurance Insurance Company of Canada,2018,Q3,N/A,Other,0
19,Esurance Insurance Company of Canada,2018,Q3,N/A,Equity Holders,371
20,Esurance Insurance Company of Canada,2018,Q3,FVOCI, Loans,0
21,Esurance Insurance Company of Canada,2018,Q3,FVOCI, Bonds and Debentures,200
22,Esurance Insurance Company of Canada,2018,Q3,FVOCI, Equities (IAS 39),236
23,Esurance Insurance Company of Canada,2018,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Esurance Insurance Company of Canada,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Esurance Insurance Company of Canada,2018,Q3,Other,Other,0
26,Esurance Insurance Company of Canada,2018,Q3,FVOCI, Equities (IFRS 9),0
27,Esurance Insurance Company of Canada,2018,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Esurance Insurance Company of Canada,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Esurance Insurance Company of Canada,2018,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Esurance Insurance Company of Canada,2018,Q3,Other,Other,0
0,Esurance Insurance Company of Canada,2018,Q4,0,Net Income,440
1,Esurance Insurance Company of Canada,2018,Q4,FVOCI, Loans,-144
2,Esurance Insurance Company of Canada,2018,Q4,FVOCI, Bonds and Debentures,-203
3,Esurance Insurance Company of Canada,2018,Q4,FVOCI, Equities (IAS 39),591
4,Esurance Insurance Company of Canada,2018,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,55
5,Esurance Insurance Company of Canada,2018,Q4,Overlay Approach,Unrealized Gains and Losses,0
6,Esurance Insurance Company of Canada,2018,Q4,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Esurance Insurance Company of Canada,2018,Q4,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Esurance Insurance Company of Canada,2018,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Esurance Insurance Company of Canada,2018,Q4,FX Translation,Change in Unrealized Gains and Losses,0
10,Esurance Insurance Company of Canada,2018,Q4,FX Translation,Impact of Hedging,0
11,Esurance Insurance Company of Canada,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Esurance Insurance Company of Canada,2018,Q4,Other,Other,0
13,Esurance Insurance Company of Canada,2018,Q4,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,395
14,Esurance Insurance Company of Canada,2018,Q4,Revaluation Surplus, Equities (IFRS 9),0
15,Esurance Insurance Company of Canada,2018,Q4,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Esurance Insurance Company of Canada,2018,Q4,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Esurance Insurance Company of Canada,2018,Q4,Other,Remeasurements of Defined Benefit Plans,0
18,Esurance Insurance Company of Canada,2018,Q4,N/A,Other,0
19,Esurance Insurance Company of Canada,2018,Q4,N/A,Equity Holders,797
20,Esurance Insurance Company of Canada,2018,Q4,FVOCI, Loans,0
21,Esurance Insurance Company of Canada,2018,Q4,FVOCI, Bonds and Debentures,-142
22,Esurance Insurance Company of Canada,2018,Q4,FVOCI, Equities (IAS 39),401
23,Esurance Insurance Company of Canada,2018,Q4,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Esurance Insurance Company of Canada,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Esurance Insurance Company of Canada,2018,Q4,Other,Other,0
26,Esurance Insurance Company of Canada,2018,Q4,FVOCI, Equities (IFRS 9),0
27,Esurance Insurance Company of Canada,2018,Q4,Revaluation Surplus,Revaluation Surplus,0
28,Esurance Insurance Company of Canada,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Esurance Insurance Company of Canada,2018,Q4,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Esurance Insurance Company of Canada,2018,Q4,Other,Other,0
0,Everest Insurance Company of Canada,2020,Q1,0,Net Income,1482
1,Everest Insurance Company of Canada,2020,Q1,FVOCI, Loans,0
2,Everest Insurance Company of Canada,2020,Q1,FVOCI, Bonds and Debentures,484
3,Everest Insurance Company of Canada,2020,Q1,FVOCI, Equities (IAS 39),0
4,Everest Insurance Company of Canada,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Everest Insurance Company of Canada,2020,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,Everest Insurance Company of Canada,2020,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Everest Insurance Company of Canada,2020,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Everest Insurance Company of Canada,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Everest Insurance Company of Canada,2020,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,Everest Insurance Company of Canada,2020,Q1,FX Translation,Impact of Hedging,0
11,Everest Insurance Company of Canada,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Everest Insurance Company of Canada,2020,Q1,Other,Other,0
13,Everest Insurance Company of Canada,2020,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,484
14,Everest Insurance Company of Canada,2020,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,Everest Insurance Company of Canada,2020,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Everest Insurance Company of Canada,2020,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Everest Insurance Company of Canada,2020,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Everest Insurance Company of Canada,2020,Q1,N/A,Other,0
19,Everest Insurance Company of Canada,2020,Q1,N/A,Equity Holders,1966
20,Everest Insurance Company of Canada,2020,Q1,FVOCI, Loans,0
21,Everest Insurance Company of Canada,2020,Q1,FVOCI, Bonds and Debentures,634
22,Everest Insurance Company of Canada,2020,Q1,FVOCI, Equities (IAS 39),0
23,Everest Insurance Company of Canada,2020,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Everest Insurance Company of Canada,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Everest Insurance Company of Canada,2020,Q1,Other,Other,0
26,Everest Insurance Company of Canada,2020,Q1,FVOCI, Equities (IFRS 9),0
27,Everest Insurance Company of Canada,2020,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Everest Insurance Company of Canada,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Everest Insurance Company of Canada,2020,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Everest Insurance Company of Canada,2020,Q1,Other,Other,0
0,Everest Insurance Company of Canada,2020,Q2,0,Net Income,-580
1,Everest Insurance Company of Canada,2020,Q2,FVOCI, Loans,0
2,Everest Insurance Company of Canada,2020,Q2,FVOCI, Bonds and Debentures,1212
3,Everest Insurance Company of Canada,2020,Q2,FVOCI, Equities (IAS 39),0
4,Everest Insurance Company of Canada,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Everest Insurance Company of Canada,2020,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Everest Insurance Company of Canada,2020,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Everest Insurance Company of Canada,2020,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Everest Insurance Company of Canada,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Everest Insurance Company of Canada,2020,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Everest Insurance Company of Canada,2020,Q2,FX Translation,Impact of Hedging,0
11,Everest Insurance Company of Canada,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Everest Insurance Company of Canada,2020,Q2,Other,Other,0
13,Everest Insurance Company of Canada,2020,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,1212
14,Everest Insurance Company of Canada,2020,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Everest Insurance Company of Canada,2020,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Everest Insurance Company of Canada,2020,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Everest Insurance Company of Canada,2020,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Everest Insurance Company of Canada,2020,Q2,N/A,Other,0
19,Everest Insurance Company of Canada,2020,Q2,N/A,Equity Holders,632
20,Everest Insurance Company of Canada,2020,Q2,FVOCI, Loans,0
21,Everest Insurance Company of Canada,2020,Q2,FVOCI, Bonds and Debentures,1211
22,Everest Insurance Company of Canada,2020,Q2,FVOCI, Equities (IAS 39),0
