,Company,Year,Quarter,SOI L1,SOI L2,SOI L3,Value
3,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-1610
4,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Revenue,Net Premiums Earned,Service Charges ,0
5,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Revenue,Net Premiums Earned,Other ,0
6,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,9659
7,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,406
8,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Cost,Acquisition Expenses,Gross Commissions,9308
9,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Revenue,Acquisition Expenses,Ceded Commissions,183
10,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Cost,Acquisition Expenses,Taxes,360
11,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Cost,Acquisition Expenses,Other ,4028
12,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Cost,General Expenses,General Expenses ,3459
13,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Investment Income,Investment Operations,Income,1176
15,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Investment Income,Investment Operations,Realized Gains (Losses),372
17,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Investment Costs,Investment Operations,Expenses,160
18,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,-35
19,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Tax,Tax,Current,1720
27,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Tax,Tax,Deferred,50
28,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,The Boiler Inspection and Insurance Company of Canada,2019,Q2,Equity Holders,Equity Breakdown,Equity Holders,4486
0,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Revenue,Premiums Written,Direct,17701
1,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Revenue,Premiums Written,Reinsurance Assumed,46486
2,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Cost,Premiums Written,Reinsurance Ceded,3047
3,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,6447
4,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Revenue,Net Premiums Earned,Service Charges ,0
5,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Revenue,Net Premiums Earned,Other ,0
6,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Cost,Gross Claims,Gross Claims and Adjustment Expenses,19791
7,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,1759
8,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Cost,Acquisition Expenses,Gross Commissions,18068
9,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Revenue,Acquisition Expenses,Ceded Commissions,246
10,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Cost,Acquisition Expenses,Taxes,719
11,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Cost,Acquisition Expenses,Other ,8644
12,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Cost,General Expenses,General Expenses ,5748
13,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Investment Income,Investment Operations,Income,2403
15,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Investment Income,Investment Operations,Realized Gains (Losses),395
17,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Investment Costs,Investment Operations,Expenses,316
18,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,116
19,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Tax,Tax,Current,4062
27,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Tax,Tax,Deferred,168
28,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,The Boiler Inspection and Insurance Company of Canada,2019,Q3,Equity Holders,Equity Breakdown,Equity Holders,10736
0,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Revenue,Premiums Written,Direct,23083
1,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Revenue,Premiums Written,Reinsurance Assumed,52992
2,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Cost,Premiums Written,Reinsurance Ceded,3129
3,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-1037
4,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Revenue,Net Premiums Earned,Service Charges ,0
5,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Revenue,Net Premiums Earned,Other ,0
6,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Cost,Gross Claims,Gross Claims and Adjustment Expenses,25495
7,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,1302
8,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Cost,Acquisition Expenses,Gross Commissions,18622
9,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Revenue,Acquisition Expenses,Ceded Commissions,304
10,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Cost,Acquisition Expenses,Taxes,741
11,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Cost,Acquisition Expenses,Other ,7580
12,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Cost,General Expenses,General Expenses ,6676
13,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Investment Income,Investment Operations,Income,2488
15,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Investment Income,Investment Operations,Realized Gains (Losses),553
17,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Investment Costs,Investment Operations,Expenses,321
18,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,149
19,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Tax,Tax,Current,2836
27,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Tax,Tax,Deferred,-162
28,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,The Boiler Inspection and Insurance Company of Canada,2019,Q4,Equity Holders,Equity Breakdown,Equity Holders,8042
0,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Revenue,Premiums Written,Direct,6399
1,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Revenue,Premiums Written,Reinsurance Assumed,19095
2,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Cost,Premiums Written,Reinsurance Ceded,1354
3,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,5443
4,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Revenue,Net Premiums Earned,Service Charges ,0
5,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Revenue,Net Premiums Earned,Other ,0
6,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Cost,Gross Claims,Gross Claims and Adjustment Expenses,10684
7,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,18
8,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Cost,Acquisition Expenses,Gross Commissions,8573
9,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Revenue,Acquisition Expenses,Ceded Commissions,124
10,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Cost,Acquisition Expenses,Taxes,327
11,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Cost,Acquisition Expenses,Other ,3834
12,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Cost,General Expenses,General Expenses ,2620
13,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Investment Income,Investment Operations,Income,977
15,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Investment Income,Investment Operations,Realized Gains (Losses),136
17,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Investment Costs,Investment Operations,Expenses,67
18,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,144
19,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Tax,Tax,Current,1280
27,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Tax,Tax,Deferred,61
28,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,The Boiler Inspection and Insurance Company of Canada,2018,Q1,Equity Holders,Equity Breakdown,Equity Holders,3350
0,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Revenue,Premiums Written,Direct,12720
1,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Revenue,Premiums Written,Reinsurance Assumed,22637
2,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Cost,Premiums Written,Reinsurance Ceded,1666
3,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-5271
4,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Revenue,Net Premiums Earned,Service Charges ,0
5,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Revenue,Net Premiums Earned,Other ,0
6,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,10503
7,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,1524
8,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Cost,Acquisition Expenses,Gross Commissions,8203
9,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Revenue,Acquisition Expenses,Ceded Commissions,143
10,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Cost,Acquisition Expenses,Taxes,335
11,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Cost,Acquisition Expenses,Other ,3759
12,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Cost,General Expenses,General Expenses ,2287
13,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Investment Income,Investment Operations,Income,1022
15,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Investment Income,Investment Operations,Realized Gains (Losses),225
17,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Investment Costs,Investment Operations,Expenses,68
18,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,136
19,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Tax,Tax,Current,1631
27,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Tax,Tax,Deferred,61
28,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,The Boiler Inspection and Insurance Company of Canada,2018,Q2,Equity Holders,Equity Breakdown,Equity Holders,4331
0,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Revenue,Premiums Written,Direct,15322
1,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Revenue,Premiums Written,Reinsurance Assumed,41463
2,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Cost,Premiums Written,Reinsurance Ceded,2388
3,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,5401
4,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Revenue,Net Premiums Earned,Service Charges ,0
5,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Revenue,Net Premiums Earned,Other ,0
6,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Cost,Gross Claims,Gross Claims and Adjustment Expenses,20804
7,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,52
8,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Cost,Acquisition Expenses,Gross Commissions,17844
9,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Revenue,Acquisition Expenses,Ceded Commissions,212
10,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Cost,Acquisition Expenses,Taxes,662
11,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Cost,Acquisition Expenses,Other ,8742
12,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Cost,General Expenses,General Expenses ,6520
13,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Investment Income,Investment Operations,Income,2044
15,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Investment Income,Investment Operations,Realized Gains (Losses),253
17,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Investment Costs,Investment Operations,Expenses,134
18,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,381
19,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Tax,Tax,Current,2477
27,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Tax,Tax,Deferred,473
28,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,The Boiler Inspection and Insurance Company of Canada,2018,Q3,Equity Holders,Equity Breakdown,Equity Holders,5488
0,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Revenue,Premiums Written,Direct,20760
1,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Revenue,Premiums Written,Reinsurance Assumed,50025
2,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Cost,Premiums Written,Reinsurance Ceded,3279
3,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-3508
4,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Revenue,Net Premiums Earned,Service Charges ,0
5,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Revenue,Net Premiums Earned,Other ,0
6,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Cost,Gross Claims,Gross Claims and Adjustment Expenses,29332
7,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,2781
8,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Cost,Acquisition Expenses,Gross Commissions,15704
9,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Revenue,Acquisition Expenses,Ceded Commissions,349
10,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Cost,Acquisition Expenses,Taxes,693
11,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Cost,Acquisition Expenses,Other ,7847
12,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Cost,General Expenses,General Expenses ,4811
13,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Investment Income,Investment Operations,Income,2200
15,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Investment Income,Investment Operations,Realized Gains (Losses),361
17,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Investment Costs,Investment Operations,Expenses,137
18,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,65
19,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Tax,Tax,Current,1880
27,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Tax,Tax,Deferred,229
28,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,The Boiler Inspection and Insurance Company of Canada,2018,Q4,Equity Holders,Equity Breakdown,Equity Holders,4215
0,Canadian Northern Shield Insurance Company,2020,Q1,Revenue,Premiums Written,Direct,42747
1,Canadian Northern Shield Insurance Company,2020,Q1,Revenue,Premiums Written,Reinsurance Assumed,0
2,Canadian Northern Shield Insurance Company,2020,Q1,Cost,Premiums Written,Reinsurance Ceded,29339
3,Canadian Northern Shield Insurance Company,2020,Q1,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,36239
4,Canadian Northern Shield Insurance Company,2020,Q1,Revenue,Net Premiums Earned,Service Charges ,0
5,Canadian Northern Shield Insurance Company,2020,Q1,Revenue,Net Premiums Earned,Other ,0
6,Canadian Northern Shield Insurance Company,2020,Q1,Cost,Gross Claims,Gross Claims and Adjustment Expenses,34722
7,Canadian Northern Shield Insurance Company,2020,Q1,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,551
8,Canadian Northern Shield Insurance Company,2020,Q1,Cost,Acquisition Expenses,Gross Commissions,12678
9,Canadian Northern Shield Insurance Company,2020,Q1,Revenue,Acquisition Expenses,Ceded Commissions,2
10,Canadian Northern Shield Insurance Company,2020,Q1,Cost,Acquisition Expenses,Taxes,2492
11,Canadian Northern Shield Insurance Company,2020,Q1,Cost,Acquisition Expenses,Other ,0
12,Canadian Northern Shield Insurance Company,2020,Q1,Cost,General Expenses,General Expenses ,3812
13,Canadian Northern Shield Insurance Company,2020,Q1,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Canadian Northern Shield Insurance Company,2020,Q1,Investment Income,Investment Operations,Income,826
15,Canadian Northern Shield Insurance Company,2020,Q1,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Canadian Northern Shield Insurance Company,2020,Q1,Investment Income,Investment Operations,Realized Gains (Losses),3
17,Canadian Northern Shield Insurance Company,2020,Q1,Investment Costs,Investment Operations,Expenses,41
18,Canadian Northern Shield Insurance Company,2020,Q1,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,0
19,Canadian Northern Shield Insurance Company,2020,Q1,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,Canadian Northern Shield Insurance Company,2020,Q1,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Canadian Northern Shield Insurance Company,2020,Q1,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Canadian Northern Shield Insurance Company,2020,Q1,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Canadian Northern Shield Insurance Company,2020,Q1,Other Revenue,Other Revenue/Expenses,Other Revenues,370
24,Canadian Northern Shield Insurance Company,2020,Q1,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Canadian Northern Shield Insurance Company,2020,Q1,Other Costs,Other Revenue/Expenses,Other Expenses,44
26,Canadian Northern Shield Insurance Company,2020,Q1,Tax,Tax,Current,869
27,Canadian Northern Shield Insurance Company,2020,Q1,Tax,Tax,Deferred,72
