,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
6,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Insurance Risk,Catastrophes,"4,721"
7,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"1,967"
8,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Interest rate risk,"61,243"
9,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,"35,250"
10,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Equity risk,"198,529"
11,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Real estate risk,0
12,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Other market risk exposures,"3,067"
13,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"90,933"
14,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"2,936"
15,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,9
16,Allstate Insurance Company of Canada,2019,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"108,437"
17,Allstate Insurance Company of Canada,2019,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"92,459"
18,Allstate Insurance Company of Canada,2019,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"477,819"
19,Allstate Insurance Company of Canada,2019,Q4,Capital Available,Total Capital Available,Other,0
0,Allstate Insurance Company of Canada,2019,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"969,796"
1,Allstate Insurance Company of Canada,2019,Q3,Capital Available,Total Capital Available,Other,0
2,Allstate Insurance Company of Canada,2019,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Allstate Insurance Company of Canada,2019,Q3,Capital Available,Total Capital Available,Other,0
4,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"128,428"
5,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"178,386"
6,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Insurance Risk,Catastrophes,"4,721"
7,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"1,963"
8,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Interest rate risk,"56,334"
9,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"35,786"
10,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Equity risk,"197,216"
11,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Other market risk exposures,"5,943"
13,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"84,528"
14,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"2,913"
15,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,4
16,Allstate Insurance Company of Canada,2019,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"106,314"
17,Allstate Insurance Company of Canada,2019,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"92,283"
18,Allstate Insurance Company of Canada,2019,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"473,502"
19,Allstate Insurance Company of Canada,2019,Q3,Capital Available,Total Capital Available,Other,0
0,Allstate Insurance Company of Canada,2019,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"897,130"
1,Allstate Insurance Company of Canada,2019,Q2,Capital Available,Total Capital Available,Other,0
2,Allstate Insurance Company of Canada,2019,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Allstate Insurance Company of Canada,2019,Q2,Capital Available,Total Capital Available,Other,0
4,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"118,935"
5,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"178,263"
6,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Insurance Risk,Catastrophes,"4,721"
7,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"1,964"
8,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Interest rate risk,"54,246"
9,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"32,964"
10,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Equity risk,"189,641"
11,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Other market risk exposures,"5,975"
13,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"82,217"
14,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"2,913"
15,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,4
16,Allstate Insurance Company of Canada,2019,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"101,815"
17,Allstate Insurance Company of Canada,2019,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"89,128"
18,Allstate Insurance Company of Canada,2019,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"456,353"
19,Allstate Insurance Company of Canada,2019,Q2,Capital Available,Total Capital Available,Other,0
0,Allstate Insurance Company of Canada,2019,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"864,343"
1,Allstate Insurance Company of Canada,2019,Q1,Capital Available,Total Capital Available,Other,0
2,Allstate Insurance Company of Canada,2019,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Allstate Insurance Company of Canada,2019,Q1,Capital Available,Total Capital Available,Other,0
4,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"105,497"
5,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"176,405"
6,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Insurance Risk,Catastrophes,"4,721"
7,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"1,966"
8,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Interest rate risk,"45,812"
9,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"30,906"
10,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Equity risk,"181,138"
11,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Other market risk exposures,"5,993"
13,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"78,636"
14,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"2,913"
15,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,4
16,Allstate Insurance Company of Canada,2019,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"96,498"
17,Allstate Insurance Company of Canada,2019,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"84,204"
18,Allstate Insurance Company of Canada,2019,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"430,857"
19,Allstate Insurance Company of Canada,2019,Q1,Capital Available,Total Capital Available,Other,0
0,Allstate Insurance Company of Canada,2018,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"773,310"
1,Allstate Insurance Company of Canada,2018,Q4,Capital Available,Total Capital Available,Other,0
2,Allstate Insurance Company of Canada,2018,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Allstate Insurance Company of Canada,2018,Q4,Capital Available,Total Capital Available,Other,0
4,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"110,893"
5,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"169,090"
6,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Insurance Risk,Catastrophes,"4,721"
7,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"1,967"
8,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Interest rate risk,"45,467"
9,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,"29,152"
10,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Equity risk,"170,081"
11,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Real estate risk,0
12,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Other market risk exposures,"2,741"
13,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"75,927"
14,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"2,913"
15,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,4
16,Allstate Insurance Company of Canada,2018,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"93,241"
17,Allstate Insurance Company of Canada,2018,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"81,751"
18,Allstate Insurance Company of Canada,2018,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"416,297"
19,Allstate Insurance Company of Canada,2018,Q4,Capital Available,Total Capital Available,Other,0
0,Allstate Insurance Company of Canada,2018,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"906,439"
1,Allstate Insurance Company of Canada,2018,Q3,Capital Available,Total Capital Available,Other,0
2,Allstate Insurance Company of Canada,2018,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Allstate Insurance Company of Canada,2018,Q3,Capital Available,Total Capital Available,Other,0
4,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"110,256"
5,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"171,287"
6,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Insurance Risk,Catastrophes,"4,721"
7,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"1,978"
8,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Interest rate risk,"39,629"
9,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"28,522"
10,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Equity risk,"206,673"
11,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Other market risk exposures,"2,596"
13,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"77,499"
14,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"3,271"
15,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,4
16,Allstate Insurance Company of Canada,2018,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"94,430"
17,Allstate Insurance Company of Canada,2018,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"85,514"
18,Allstate Insurance Company of Canada,2018,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"436,901"
19,Allstate Insurance Company of Canada,2018,Q3,Capital Available,Total Capital Available,Other,0
0,Allstate Insurance Company of Canada,2018,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"869,301"
1,Allstate Insurance Company of Canada,2018,Q2,Capital Available,Total Capital Available,Other,0
2,Allstate Insurance Company of Canada,2018,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Allstate Insurance Company of Canada,2018,Q2,Capital Available,Total Capital Available,Other,0
4,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"96,685"
5,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"171,833"
6,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Insurance Risk,Catastrophes,"4,721"
7,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"2,023"
8,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Market Risk,Interest rate risk,"44,257"
9,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"28,486"
10,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Market Risk,Equity risk,"205,314"
11,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Market Risk,Other market risk exposures,"2,555"
13,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"69,473"
14,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"3,271"
15,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,3
16,Allstate Insurance Company of Canada,2018,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"91,755"
17,Allstate Insurance Company of Canada,2018,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"82,821"
18,Allstate Insurance Company of Canada,2018,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"425,037"
19,Allstate Insurance Company of Canada,2018,Q2,Capital Available,Total Capital Available,Other,0
0,Allstate Insurance Company of Canada,2018,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"839,517"
1,Allstate Insurance Company of Canada,2018,Q1,Capital Available,Total Capital Available,Other,0
2,Allstate Insurance Company of Canada,2018,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Allstate Insurance Company of Canada,2018,Q1,Capital Available,Total Capital Available,Other,0
4,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"89,007"
5,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"166,352"
6,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Insurance Risk,Catastrophes,"4,721"
7,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"2,024"
8,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Market Risk,Interest rate risk,"44,278"
9,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"27,817"
10,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Market Risk,Equity risk,"195,804"
11,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Market Risk,Other market risk exposures,"2,404"
13,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"75,741"
14,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"3,271"
15,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,3
16,Allstate Insurance Company of Canada,2018,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"89,324"
17,Allstate Insurance Company of Canada,2018,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"80,122"
18,Allstate Insurance Company of Canada,2018,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"413,749"
19,Allstate Insurance Company of Canada,2018,Q1,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"15,351"
1,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,564
5,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,380
6,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Interest rate risk,644
9,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,343
10,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Equity risk,"1,289"
11,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Real estate risk,192
12,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Other market risk exposures,11
13,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,311
14,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Margin Required,Operational Risk,Operational risk margin,523
17,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,371
18,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"2,591"
19,Antigonish Farmers' Mutual Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"15,190"
1,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,513
5,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,372
6,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Interest rate risk,668
9,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,259
10,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Equity risk,"1,114"
11,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Real estate risk,192
12,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Other market risk exposures,54
13,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,284
14,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Margin Required,Operational Risk,Operational risk margin,497
17,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,347
18,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"2,404"
19,Antigonish Farmers' Mutual Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"14,107"
1,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,512
5,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,421
6,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Interest rate risk,556
9,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,205
10,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Equity risk,893
11,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Real estate risk,192
12,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Other market risk exposures,42
13,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,211
14,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Margin Required,Operational Risk,Operational risk margin,458
17,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,342
18,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"2,099"
19,Antigonish Farmers' Mutual Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"15,295"
1,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,568
5,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,291
6,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Interest rate risk,70
9,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,92
10,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Equity risk,"1,441"
11,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Real estate risk,192
12,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Other market risk exposures,11
13,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,207
14,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Margin Required,Operational Risk,Operational risk margin,442
17,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,319
18,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"1,997"
19,Antigonish Farmers' Mutual Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
0,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"14,476"
1,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
2,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
4,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,530
5,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,412
6,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Antigonish Farmers' Mutual Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
