,Company,Year,Quarter,Assets L1,Assets L2,Value
9,Canadian Premier General Insurance Company,2020,Q1,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2020,Q1,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2020,Q1,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2020,Q1,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2020,Q1,Receivables,Other Insurers,421
14,Canadian Premier General Insurance Company,2020,Q1,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2020,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures","2,243"
16,Canadian Premier General Insurance Company,2020,Q1,Receivables,Other Receivables,481
17,Canadian Premier General Insurance Company,2020,Q1,Receivables from Reinsurers,Unearned Premiums,17
18,Canadian Premier General Insurance Company,2020,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,223
19,Canadian Premier General Insurance Company,2020,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2020,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2020,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2020,Q1,Property and Equipment,Property and Equipment,417
23,Canadian Premier General Insurance Company,2020,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2020,Q1,Current Tax Assets,Current Tax Assets,0
25,Canadian Premier General Insurance Company,2020,Q1,Deferred Tax Assets,Deferred Tax Assets,24
26,Canadian Premier General Insurance Company,2020,Q1,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2020,Q1,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2020,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2020,Q1,Other Assets ,Other Assets ,0
0,Canadian Premier General Insurance Company,2019,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,"1,265"
1,Canadian Premier General Insurance Company,2019,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,40
2,Canadian Premier General Insurance Company,2019,Q4,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2019,Q4,Investments,Short Term Investments,375
4,Canadian Premier General Insurance Company,2019,Q4,Investments,Bonds and Debentures,"7,534"
5,Canadian Premier General Insurance Company,2019,Q4,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2019,Q4,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2019,Q4,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2019,Q4,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2019,Q4,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2019,Q4,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2019,Q4,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2019,Q4,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2019,Q4,Receivables,Other Insurers,396
14,Canadian Premier General Insurance Company,2019,Q4,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2019,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures","3,923"
16,Canadian Premier General Insurance Company,2019,Q4,Receivables,Other Receivables,418
17,Canadian Premier General Insurance Company,2019,Q4,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2019,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,201
19,Canadian Premier General Insurance Company,2019,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2019,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2019,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2019,Q4,Property and Equipment,Property and Equipment,422
23,Canadian Premier General Insurance Company,2019,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2019,Q4,Current Tax Assets,Current Tax Assets,0
25,Canadian Premier General Insurance Company,2019,Q4,Deferred Tax Assets,Deferred Tax Assets,2
26,Canadian Premier General Insurance Company,2019,Q4,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2019,Q4,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2019,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2019,Q4,Other Assets ,Other Assets ,11
0,Canadian Premier General Insurance Company,2019,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"3,786"
1,Canadian Premier General Insurance Company,2019,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,56
2,Canadian Premier General Insurance Company,2019,Q3,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2019,Q3,Investments,Short Term Investments,190
4,Canadian Premier General Insurance Company,2019,Q3,Investments,Bonds and Debentures,"7,653"
5,Canadian Premier General Insurance Company,2019,Q3,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2019,Q3,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2019,Q3,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2019,Q3,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2019,Q3,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2019,Q3,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2019,Q3,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2019,Q3,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2019,Q3,Receivables,Other Insurers,259
14,Canadian Premier General Insurance Company,2019,Q3,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2019,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures","1,827"
16,Canadian Premier General Insurance Company,2019,Q3,Receivables,Other Receivables,514
17,Canadian Premier General Insurance Company,2019,Q3,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2019,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,211
19,Canadian Premier General Insurance Company,2019,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2019,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2019,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2019,Q3,Property and Equipment,Property and Equipment,549
23,Canadian Premier General Insurance Company,2019,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2019,Q3,Current Tax Assets,Current Tax Assets,113
25,Canadian Premier General Insurance Company,2019,Q3,Deferred Tax Assets,Deferred Tax Assets,19
26,Canadian Premier General Insurance Company,2019,Q3,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2019,Q3,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2019,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2019,Q3,Other Assets ,Other Assets ,14
0,Canadian Premier General Insurance Company,2019,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,"3,184"
1,Canadian Premier General Insurance Company,2019,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,40
2,Canadian Premier General Insurance Company,2019,Q2,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2019,Q2,Investments,Short Term Investments,135
4,Canadian Premier General Insurance Company,2019,Q2,Investments,Bonds and Debentures,"7,710"
5,Canadian Premier General Insurance Company,2019,Q2,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2019,Q2,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2019,Q2,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2019,Q2,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2019,Q2,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2019,Q2,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2019,Q2,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2019,Q2,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2019,Q2,Receivables,Other Insurers,164
14,Canadian Premier General Insurance Company,2019,Q2,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2019,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures","1,354"
16,Canadian Premier General Insurance Company,2019,Q2,Receivables,Other Receivables,"1,413"
17,Canadian Premier General Insurance Company,2019,Q2,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2019,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,212
19,Canadian Premier General Insurance Company,2019,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2019,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2019,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2019,Q2,Property and Equipment,Property and Equipment,359
23,Canadian Premier General Insurance Company,2019,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2019,Q2,Current Tax Assets,Current Tax Assets,96
25,Canadian Premier General Insurance Company,2019,Q2,Deferred Tax Assets,Deferred Tax Assets,5
26,Canadian Premier General Insurance Company,2019,Q2,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2019,Q2,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2019,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2019,Q2,Other Assets ,Other Assets ,12
0,Canadian Premier General Insurance Company,2019,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,"1,188"
1,Canadian Premier General Insurance Company,2019,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,51
2,Canadian Premier General Insurance Company,2019,Q1,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2019,Q1,Investments,Short Term Investments,129
4,Canadian Premier General Insurance Company,2019,Q1,Investments,Bonds and Debentures,"7,619"
5,Canadian Premier General Insurance Company,2019,Q1,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2019,Q1,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2019,Q1,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2019,Q1,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2019,Q1,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2019,Q1,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2019,Q1,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2019,Q1,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2019,Q1,Receivables,Other Insurers,"1,624"
14,Canadian Premier General Insurance Company,2019,Q1,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2019,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",667
16,Canadian Premier General Insurance Company,2019,Q1,Receivables,Other Receivables,"2,049"
17,Canadian Premier General Insurance Company,2019,Q1,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2019,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,222
19,Canadian Premier General Insurance Company,2019,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2019,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2019,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2019,Q1,Property and Equipment,Property and Equipment,403
23,Canadian Premier General Insurance Company,2019,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2019,Q1,Current Tax Assets,Current Tax Assets,126
25,Canadian Premier General Insurance Company,2019,Q1,Deferred Tax Assets,Deferred Tax Assets,26
26,Canadian Premier General Insurance Company,2019,Q1,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2019,Q1,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2019,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2019,Q1,Other Assets ,Other Assets ,19
0,Canadian Premier General Insurance Company,2018,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,"3,145"
1,Canadian Premier General Insurance Company,2018,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,40
2,Canadian Premier General Insurance Company,2018,Q4,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2018,Q4,Investments,Short Term Investments,90
4,Canadian Premier General Insurance Company,2018,Q4,Investments,Bonds and Debentures,"7,488"
5,Canadian Premier General Insurance Company,2018,Q4,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2018,Q4,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2018,Q4,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2018,Q4,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2018,Q4,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2018,Q4,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2018,Q4,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2018,Q4,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2018,Q4,Receivables,Other Insurers,535
14,Canadian Premier General Insurance Company,2018,Q4,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2018,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures","1,107"
16,Canadian Premier General Insurance Company,2018,Q4,Receivables,Other Receivables,527
17,Canadian Premier General Insurance Company,2018,Q4,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2018,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,233
19,Canadian Premier General Insurance Company,2018,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2018,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2018,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2018,Q4,Property and Equipment,Property and Equipment,0
23,Canadian Premier General Insurance Company,2018,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2018,Q4,Current Tax Assets,Current Tax Assets,39
25,Canadian Premier General Insurance Company,2018,Q4,Deferred Tax Assets,Deferred Tax Assets,17
26,Canadian Premier General Insurance Company,2018,Q4,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2018,Q4,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2018,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2018,Q4,Other Assets ,Other Assets ,14
0,Canadian Premier General Insurance Company,2018,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"1,856"
1,Canadian Premier General Insurance Company,2018,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,49
2,Canadian Premier General Insurance Company,2018,Q3,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2018,Q3,Investments,Short Term Investments,30
4,Canadian Premier General Insurance Company,2018,Q3,Investments,Bonds and Debentures,"7,407"
5,Canadian Premier General Insurance Company,2018,Q3,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2018,Q3,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2018,Q3,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2018,Q3,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2018,Q3,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2018,Q3,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2018,Q3,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2018,Q3,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2018,Q3,Receivables,Other Insurers,0
14,Canadian Premier General Insurance Company,2018,Q3,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2018,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures","1,796"
16,Canadian Premier General Insurance Company,2018,Q3,Receivables,Other Receivables,"1,905"
17,Canadian Premier General Insurance Company,2018,Q3,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2018,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,269
19,Canadian Premier General Insurance Company,2018,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2018,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2018,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2018,Q3,Property and Equipment,Property and Equipment,0
23,Canadian Premier General Insurance Company,2018,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2018,Q3,Current Tax Assets,Current Tax Assets,24
25,Canadian Premier General Insurance Company,2018,Q3,Deferred Tax Assets,Deferred Tax Assets,36
26,Canadian Premier General Insurance Company,2018,Q3,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2018,Q3,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2018,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2018,Q3,Other Assets ,Other Assets ,14
0,Canadian Premier General Insurance Company,2018,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,384
1,Canadian Premier General Insurance Company,2018,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,37
2,Canadian Premier General Insurance Company,2018,Q2,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2018,Q2,Investments,Short Term Investments,15
4,Canadian Premier General Insurance Company,2018,Q2,Investments,Bonds and Debentures,"7,455"
5,Canadian Premier General Insurance Company,2018,Q2,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2018,Q2,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2018,Q2,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2018,Q2,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2018,Q2,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2018,Q2,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2018,Q2,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2018,Q2,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2018,Q2,Receivables,Other Insurers,491
14,Canadian Premier General Insurance Company,2018,Q2,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2018,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures","3,112"
16,Canadian Premier General Insurance Company,2018,Q2,Receivables,Other Receivables,"2,278"
17,Canadian Premier General Insurance Company,2018,Q2,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2018,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,227
19,Canadian Premier General Insurance Company,2018,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2018,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2018,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2018,Q2,Property and Equipment,Property and Equipment,0
23,Canadian Premier General Insurance Company,2018,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2018,Q2,Current Tax Assets,Current Tax Assets,197
25,Canadian Premier General Insurance Company,2018,Q2,Deferred Tax Assets,Deferred Tax Assets,26
26,Canadian Premier General Insurance Company,2018,Q2,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2018,Q2,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2018,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2018,Q2,Other Assets ,Other Assets ,14
0,Canadian Premier General Insurance Company,2018,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,976
1,Canadian Premier General Insurance Company,2018,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,42
2,Canadian Premier General Insurance Company,2018,Q1,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2018,Q1,Investments,Short Term Investments,35
4,Canadian Premier General Insurance Company,2018,Q1,Investments,Bonds and Debentures,"7,415"
5,Canadian Premier General Insurance Company,2018,Q1,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2018,Q1,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2018,Q1,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2018,Q1,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2018,Q1,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2018,Q1,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2018,Q1,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2018,Q1,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2018,Q1,Receivables,Other Insurers,"1,141"
14,Canadian Premier General Insurance Company,2018,Q1,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2018,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures","1,872"
16,Canadian Premier General Insurance Company,2018,Q1,Receivables,Other Receivables,"1,407"
17,Canadian Premier General Insurance Company,2018,Q1,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2018,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,57
19,Canadian Premier General Insurance Company,2018,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2018,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2018,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2018,Q1,Property and Equipment,Property and Equipment,0
23,Canadian Premier General Insurance Company,2018,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2018,Q1,Current Tax Assets,Current Tax Assets,250
25,Canadian Premier General Insurance Company,2018,Q1,Deferred Tax Assets,Deferred Tax Assets,9
26,Canadian Premier General Insurance Company,2018,Q1,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2018,Q1,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2018,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2018,Q1,Other Assets ,Other Assets ,14
0,Canadian Premier General Insurance Company,2017,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,070"
1,Canadian Premier General Insurance Company,2017,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,33
2,Canadian Premier General Insurance Company,2017,Q4,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2017,Q4,Investments,Short Term Investments,125
4,Canadian Premier General Insurance Company,2017,Q4,Investments,Bonds and Debentures,"7,335"
5,Canadian Premier General Insurance Company,2017,Q4,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2017,Q4,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2017,Q4,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2017,Q4,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2017,Q4,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2017,Q4,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2017,Q4,Receivables,Policyholders,0
12,Canadian Premier General Insurance Company,2017,Q4,Receivables,Instalment Premiums,0
13,Canadian Premier General Insurance Company,2017,Q4,Receivables,Other Insurers,739
14,Canadian Premier General Insurance Company,2017,Q4,Receivables,"Facility Association and the ""P.R.R."" ",0
15,Canadian Premier General Insurance Company,2017,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures","2,103"
16,Canadian Premier General Insurance Company,2017,Q4,Receivables,Other Receivables,383
17,Canadian Premier General Insurance Company,2017,Q4,Receivables from Reinsurers,Unearned Premiums,0
18,Canadian Premier General Insurance Company,2017,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,63
19,Canadian Premier General Insurance Company,2017,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Canadian Premier General Insurance Company,2017,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Canadian Premier General Insurance Company,2017,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Canadian Premier General Insurance Company,2017,Q4,Property and Equipment,Property and Equipment,0
23,Canadian Premier General Insurance Company,2017,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,0
24,Canadian Premier General Insurance Company,2017,Q4,Current Tax Assets,Current Tax Assets,61
25,Canadian Premier General Insurance Company,2017,Q4,Deferred Tax Assets,Deferred Tax Assets,19
26,Canadian Premier General Insurance Company,2017,Q4,Goodwill,Goodwill,0
27,Canadian Premier General Insurance Company,2017,Q4,Intangible Assets,Intangible Assets,0
28,Canadian Premier General Insurance Company,2017,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Canadian Premier General Insurance Company,2017,Q4,Other Assets ,Other Assets ,10
0,Canadian Premier General Insurance Company,2017,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"2,075"
1,Canadian Premier General Insurance Company,2017,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,41
2,Canadian Premier General Insurance Company,2017,Q3,Assets held for sale,Assets held for sale,0
3,Canadian Premier General Insurance Company,2017,Q3,Investments,Short Term Investments,464
4,Canadian Premier General Insurance Company,2017,Q3,Investments,Bonds and Debentures,"6,936"
5,Canadian Premier General Insurance Company,2017,Q3,Investments,Mortgage Loans,0
6,Canadian Premier General Insurance Company,2017,Q3,Investments,Preferred Shares,0
7,Canadian Premier General Insurance Company,2017,Q3,Investments,Common Shares,0
8,Canadian Premier General Insurance Company,2017,Q3,Investments,Investment Properties,0
9,Canadian Premier General Insurance Company,2017,Q3,Investments,Other Loans and Invested Assets,0
10,Canadian Premier General Insurance Company,2017,Q3,Receivables,Unaffiliated Agents and Brokers,0
11,Canadian Premier General Insurance Company,2017,Q3,Receivables,Policyholders,0
