Company,Year,Quarter,Assets L1,Assets L2,Value
Allstate Insurance Company of Canada,2017,Q3,Investments,Bonds and Debentures,2039164
Allstate Insurance Company of Canada,2017,Q3,Investments,Mortgage Loans,0
Allstate Insurance Company of Canada,2017,Q3,Investments,Preferred Shares,171837
Allstate Insurance Company of Canada,2017,Q3,Investments,Common Shares,653262
Allstate Insurance Company of Canada,2017,Q3,Investments,Investment Properties,0
Allstate Insurance Company of Canada,2017,Q3,Investments,Other Loans and Invested Assets,0
Allstate Insurance Company of Canada,2017,Q3,Receivables,Unaffiliated Agents and Brokers,2375
Allstate Insurance Company of Canada,2017,Q3,Receivables,Policyholders,0
Allstate Insurance Company of Canada,2017,Q3,Receivables,Instalment Premiums,489160
Allstate Insurance Company of Canada,2017,Q3,Receivables,Other Insurers,3506
Allstate Insurance Company of Canada,2017,Q3,Receivables,"Facility Association and the ""P.R.R."" ",1147
Allstate Insurance Company of Canada,2017,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",0
Allstate Insurance Company of Canada,2017,Q3,Receivables,Other Receivables,24100
Allstate Insurance Company of Canada,2017,Q3,Receivables from Reinsurers,Unearned Premiums,0
Allstate Insurance Company of Canada,2017,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,77118
Allstate Insurance Company of Canada,2017,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,26060
Allstate Insurance Company of Canada,2017,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Allstate Insurance Company of Canada,2017,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
Allstate Insurance Company of Canada,2017,Q3,Property and Equipment,Property and Equipment,26012
Allstate Insurance Company of Canada,2017,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,75534
Allstate Insurance Company of Canada,2017,Q3,Current Tax Assets,Current Tax Assets,567
Allstate Insurance Company of Canada,2017,Q3,Deferred Tax Assets,Deferred Tax Assets,54421
Allstate Insurance Company of Canada,2017,Q3,Goodwill,Goodwill,0
Allstate Insurance Company of Canada,2017,Q3,Intangible Assets,Intangible Assets,6139
Allstate Insurance Company of Canada,2017,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Allstate Insurance Company of Canada,2017,Q3,Other Assets ,Other Assets ,4514
Allstate Insurance Company of Canada,2017,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,111357
Allstate Insurance Company of Canada,2017,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,12068
Allstate Insurance Company of Canada,2017,Q2,Assets held for sale,Assets held for sale,0
Allstate Insurance Company of Canada,2017,Q2,Investments,Short Term Investments,4189
Allstate Insurance Company of Canada,2017,Q2,Investments,Bonds and Debentures,2033803
Allstate Insurance Company of Canada,2017,Q2,Investments,Mortgage Loans,0
Allstate Insurance Company of Canada,2017,Q2,Investments,Preferred Shares,167562
Allstate Insurance Company of Canada,2017,Q2,Investments,Common Shares,640416
Allstate Insurance Company of Canada,2017,Q2,Investments,Investment Properties,0
Allstate Insurance Company of Canada,2017,Q2,Investments,Other Loans and Invested Assets,315
Allstate Insurance Company of Canada,2017,Q2,Receivables,Unaffiliated Agents and Brokers,2918
Allstate Insurance Company of Canada,2017,Q2,Receivables,Policyholders,0
Allstate Insurance Company of Canada,2017,Q2,Receivables,Instalment Premiums,451877
Allstate Insurance Company of Canada,2017,Q2,Receivables,Other Insurers,3501
Allstate Insurance Company of Canada,2017,Q2,Receivables,"Facility Association and the ""P.R.R."" ",2687
Allstate Insurance Company of Canada,2017,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",49
Allstate Insurance Company of Canada,2017,Q2,Receivables,Other Receivables,35080
Allstate Insurance Company of Canada,2017,Q2,Receivables from Reinsurers,Unearned Premiums,0
Allstate Insurance Company of Canada,2017,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,86512
Allstate Insurance Company of Canada,2017,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,25999
Allstate Insurance Company of Canada,2017,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Allstate Insurance Company of Canada,2017,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
Allstate Insurance Company of Canada,2017,Q2,Property and Equipment,Property and Equipment,27882
Allstate Insurance Company of Canada,2017,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,71097
Allstate Insurance Company of Canada,2017,Q2,Current Tax Assets,Current Tax Assets,12122
Allstate Insurance Company of Canada,2017,Q2,Deferred Tax Assets,Deferred Tax Assets,54329
Allstate Insurance Company of Canada,2017,Q2,Goodwill,Goodwill,0
Allstate Insurance Company of Canada,2017,Q2,Intangible Assets,Intangible Assets,5763
Allstate Insurance Company of Canada,2017,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Allstate Insurance Company of Canada,2017,Q2,Other Assets ,Other Assets ,3891
Allstate Insurance Company of Canada,2017,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,166462
Allstate Insurance Company of Canada,2017,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,17416
Allstate Insurance Company of Canada,2017,Q1,Assets held for sale,Assets held for sale,0
Allstate Insurance Company of Canada,2017,Q1,Investments,Short Term Investments,4180
Allstate Insurance Company of Canada,2017,Q1,Investments,Bonds and Debentures,2002278
Allstate Insurance Company of Canada,2017,Q1,Investments,Mortgage Loans,0
Allstate Insurance Company of Canada,2017,Q1,Investments,Preferred Shares,136896
Allstate Insurance Company of Canada,2017,Q1,Investments,Common Shares,602769
Allstate Insurance Company of Canada,2017,Q1,Investments,Investment Properties,0
Allstate Insurance Company of Canada,2017,Q1,Investments,Other Loans and Invested Assets,0
Allstate Insurance Company of Canada,2017,Q1,Receivables,Unaffiliated Agents and Brokers,2192
Allstate Insurance Company of Canada,2017,Q1,Receivables,Policyholders,0
Allstate Insurance Company of Canada,2017,Q1,Receivables,Instalment Premiums,406219
Allstate Insurance Company of Canada,2017,Q1,Receivables,Other Insurers,3144
Allstate Insurance Company of Canada,2017,Q1,Receivables,"Facility Association and the ""P.R.R."" ",2256
Allstate Insurance Company of Canada,2017,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",82
Allstate Insurance Company of Canada,2017,Q1,Receivables,Other Receivables,18252
Allstate Insurance Company of Canada,2017,Q1,Receivables from Reinsurers,Unearned Premiums,0
Allstate Insurance Company of Canada,2017,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,87305
Allstate Insurance Company of Canada,2017,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,25902
Allstate Insurance Company of Canada,2017,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Allstate Insurance Company of Canada,2017,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
Allstate Insurance Company of Canada,2017,Q1,Property and Equipment,Property and Equipment,27250
Allstate Insurance Company of Canada,2017,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,65548
Allstate Insurance Company of Canada,2017,Q1,Current Tax Assets,Current Tax Assets,1375
Allstate Insurance Company of Canada,2017,Q1,Deferred Tax Assets,Deferred Tax Assets,53908
Allstate Insurance Company of Canada,2017,Q1,Goodwill,Goodwill,0
Allstate Insurance Company of Canada,2017,Q1,Intangible Assets,Intangible Assets,6216
Allstate Insurance Company of Canada,2017,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,147
Allstate Insurance Company of Canada,2017,Q1,Other Assets ,Other Assets ,4002
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,4502
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,48
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Assets held for sale,Assets held for sale,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments,Short Term Investments,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments,Bonds and Debentures,8787
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments,Mortgage Loans,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments,Preferred Shares,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments,Common Shares,4297
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments,Investment Properties,656
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments,Other Loans and Invested Assets,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables,Unaffiliated Agents and Brokers,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables,Policyholders,1083
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables,Instalment Premiums,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables,Other Insurers,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables,"Facility Association and the ""P.R.R."" ",0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables,Other Receivables,9
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables from Reinsurers,Unearned Premiums,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,131
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Property and Equipment,Property and Equipment,724
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,605
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Current Tax Assets,Current Tax Assets,13
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Deferred Tax Assets,Deferred Tax Assets,21
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Goodwill,Goodwill,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Intangible Assets,Intangible Assets,106
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Antigonish Farmers' Mutual Insurance Company,2020,Q3,Other Assets ,Other Assets ,578
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,4510
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,48
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Assets held for sale,Assets held for sale,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments,Short Term Investments,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments,Bonds and Debentures,9014
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments,Mortgage Loans,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments,Preferred Shares,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments,Common Shares,3713
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments,Investment Properties,656
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments,Other Loans and Invested Assets,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables,Unaffiliated Agents and Brokers,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables,Policyholders,856
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables,Instalment Premiums,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables,Other Insurers,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables,"Facility Association and the ""P.R.R."" ",0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables,Other Receivables,12
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables from Reinsurers,Unearned Premiums,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,134
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Property and Equipment,Property and Equipment,724
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,605
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Current Tax Assets,Current Tax Assets,13
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Deferred Tax Assets,Deferred Tax Assets,21
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Goodwill,Goodwill,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Intangible Assets,Intangible Assets,106
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Antigonish Farmers' Mutual Insurance Company,2020,Q2,Other Assets ,Other Assets ,430
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,4409
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,48
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Assets held for sale,Assets held for sale,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments,Short Term Investments,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments,Bonds and Debentures,8894
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments,Mortgage Loans,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments,Preferred Shares,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments,Common Shares,2975
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments,Investment Properties,654
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments,Other Loans and Invested Assets,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables,Unaffiliated Agents and Brokers,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables,Policyholders,914
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables,Instalment Premiums,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables,Other Insurers,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables,"Facility Association and the ""P.R.R."" ",0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables,Other Receivables,16
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables from Reinsurers,Unearned Premiums,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,252
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Property and Equipment,Property and Equipment,712
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,605
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Current Tax Assets,Current Tax Assets,91
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Deferred Tax Assets,Deferred Tax Assets,21
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Goodwill,Goodwill,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Intangible Assets,Intangible Assets,100
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Antigonish Farmers' Mutual Insurance Company,2020,Q1,Other Assets ,Other Assets ,321
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,3993
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,48
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Assets held for sale,Assets held for sale,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments,Short Term Investments,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments,Bonds and Debentures,7748
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments,Mortgage Loans,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments,Preferred Shares,669
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments,Common Shares,4803
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments,Investment Properties,657
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments,Other Loans and Invested Assets,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables,Unaffiliated Agents and Brokers,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables,Policyholders,1055
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables,Instalment Premiums,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables,Other Insurers,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables,"Facility Association and the ""P.R.R."" ",0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables,Other Receivables,148
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables from Reinsurers,Unearned Premiums,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,265
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Property and Equipment,Property and Equipment,727
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,605
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Current Tax Assets,Current Tax Assets,68
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Deferred Tax Assets,Deferred Tax Assets,20
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Goodwill,Goodwill,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Intangible Assets,Intangible Assets,106
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Antigonish Farmers' Mutual Insurance Company,2019,Q4,Other Assets ,Other Assets ,169
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,3116
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,61
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Assets held for sale,Assets held for sale,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments,Short Term Investments,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments,Bonds and Debentures,8304
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments,Mortgage Loans,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments,Preferred Shares,628
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments,Common Shares,4630
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments,Investment Properties,660
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments,Other Loans and Invested Assets,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables,Unaffiliated Agents and Brokers,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables,Policyholders,940
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables,Instalment Premiums,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables,Other Insurers,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables,"Facility Association and the ""P.R.R."" ",0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",2
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables,Other Receivables,30
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables from Reinsurers,Unearned Premiums,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,573
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Property and Equipment,Property and Equipment,736
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,566
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Current Tax Assets,Current Tax Assets,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Deferred Tax Assets,Deferred Tax Assets,60
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Goodwill,Goodwill,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Intangible Assets,Intangible Assets,187
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Antigonish Farmers' Mutual Insurance Company,2019,Q3,Other Assets ,Other Assets ,354
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,2543
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,79
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Assets held for sale,Assets held for sale,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments,Short Term Investments,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments,Bonds and Debentures,8942
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments,Mortgage Loans,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments,Preferred Shares,650
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments,Common Shares,4676
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments,Investment Properties,654
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments,Other Loans and Invested Assets,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables,Unaffiliated Agents and Brokers,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables,Policyholders,875
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables,Instalment Premiums,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables,Other Insurers,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables,"Facility Association and the ""P.R.R."" ",0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables,Other Receivables,39
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables from Reinsurers,Unearned Premiums,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,996
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Property and Equipment,Property and Equipment,738
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,566
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Current Tax Assets,Current Tax Assets,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Deferred Tax Assets,Deferred Tax Assets,60
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Goodwill,Goodwill,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Intangible Assets,Intangible Assets,103
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Antigonish Farmers' Mutual Insurance Company,2019,Q2,Other Assets ,Other Assets ,373
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,2094
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,70
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Assets held for sale,Assets held for sale,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments,Short Term Investments,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments,Bonds and Debentures,9286
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments,Mortgage Loans,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments,Preferred Shares,684
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments,Common Shares,4725
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments,Investment Properties,652
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments,Other Loans and Invested Assets,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables,Unaffiliated Agents and Brokers,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables,Policyholders,839
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables,Instalment Premiums,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables,Other Insurers,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables,"Facility Association and the ""P.R.R."" ",0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables,Other Receivables,46
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables from Reinsurers,Unearned Premiums,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,885
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Property and Equipment,Property and Equipment,761
Antigonish Farmers' Mutual Insurance Company,2019,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,566
